"OKV_SCHEMA","DL_NAAM","DL_ID","DL_RUN_ID","PROCES_NAAM","DL_FREQUENTIE_INFO","PROCES_STATUS","VERSCHIL","TYPE_DL_NAAM","AANTAL_RUNS_PER_BRON","AANTAL_RUNS_GOED","AANTAL_RUNS_FOUT","RUN_FOUT","START_TIJD","EIND_TIJD"
"OKV_RESAFASA_PO","rf.brutos",38,4257,"ResafasaPlatBestandHarnas","dagelijks","Afgebroken",8,"bestand",586,542,44,3,06-10-2022 23:54_37,07-10-2022 00:02_57
"OKV_RESAFASA_PO","rf.brutos",38,4242,"ControlerenResafasaPakbon","dagelijks","Afgebroken",0,"bestand",586,542,44,3,05-10-2022 20:24_24,05-10-2022 20:24_31
"OKV_RESAFASA_PO","rf.brutos",38,4242,"MasterBestandHarnasResafasa","dagelijks","Afgebroken",8,"bestand",586,542,44,3,05-10-2022 20:16_23,05-10-2022 20:24_44
"OKV_RESAFASA_PO","rf.brutos",38,4242,"ResafasaPlatBestandHarnas","dagelijks","Afgebroken",8,"bestand",586,542,44,3,05-10-2022 20:16_25,05-10-2022 20:24_39
"OKV_RESAFASA_PO","rf.brutos",38,4202,"ControlerenResafasaPakbon","dagelijks","Afgebroken",606,"bestand",586,542,44,3,04-10-2022 23:53_11,05-10-2022 09:59_33
"OKV_RESAFASA_PO","rf.brutos",38,4202,"MasterBestandHarnasResafasa","dagelijks","Afgebroken",615,"bestand",586,542,44,3,04-10-2022 23:45_08,05-10-2022 09:59_49
"OKV_RESAFASA_PO","rf.brutos",38,4202,"ResafasaPlatBestandHarnas","dagelijks","Afgebroken",615,"bestand",586,542,44,3,04-10-2022 23:45_10,05-10-2022 09:59_43
"OKV_PEERCODE_PO","peercode.peercodedagelijks",9,4189,"BronzoneHarnas","dagelijks","Afgebroken",1772,"bestand",772,737,35,3,04-10-2022 02:02_35,05-10-2022 07:34_06
"OKV_PEERCODE_PO","peercode.peercodedagelijks",9,4189,"LadenBronzone","dagelijks","Afgebroken",1771,"bestand",772,737,35,3,04-10-2022 02:03_29,05-10-2022 07:34_04
"OKV_PEERCODE_PO","peercode.peercodedagelijks",9,4189,"MasterBestandHarnas","dagelijks","Afgebroken",4,"bestand",772,737,35,3,04-10-2022 02:00_22,04-10-2022 02:04_25
"OKV_BAS_PO","bas.baswekelijks_ass",34,4164,"DetecteerPakbon","wekelijks","Afgebroken",61,"bestand",162,138,24,3,01-10-2022 06:00_27,01-10-2022 07:01_37
"OKV_BAS_PO","bas.baswekelijks_ass",34,4164,"MasterBestandHarnas","wekelijks","Afgebroken",61,"bestand",162,138,24,3,01-10-2022 06:00_22,01-10-2022 07:01_47
"OKV_BAS_PO","bas.baswekelijks_ass",34,4164,"PlatBestandHarnas","wekelijks","Afgebroken",61,"bestand",162,138,24,3,01-10-2022 06:00_24,01-10-2022 07:01_42
"OKV_STORAGE_PO","storage.storagedagelijks",71,4149,"LadenBestanden","Dagelijks","Afgebroken",0,"bestand",504,166,338,3,30-09-2022 00:03_58,30-09-2022 00:04_12
"OKV_STORAGE_PO","storage.storagedagelijks",71,4149,"MasterBestandHarnas","Dagelijks","Afgebroken",3,"bestand",504,166,338,3,30-09-2022 00:01_28,30-09-2022 00:04_21
"OKV_STORAGE_PO","storage.storagedagelijks",71,4149,"PlatBestandHarnas","Dagelijks","Afgebroken",3,"bestand",504,166,338,3,30-09-2022 00:01_31,30-09-2022 00:04_16
"OKV_RESAFASA_PO","rf.brutos",38,4137,"DetecteerResafasaPakbon","dagelijks","Afgebroken",7899,"bestand",586,542,44,3,29-09-2022 11:11_25,04-10-2022 22:50_09
"OKV_RESAFASA_PO","rf.brutos",38,4137,"MasterBestandHarnasResafasa","dagelijks","Afgebroken",7904,"bestand",586,542,44,3,29-09-2022 11:11_21,04-10-2022 22:55_34
"OKV_RESAFASA_PO","rf.brutos",38,4137,"ResafasaPlatBestandHarnas","dagelijks","Afgebroken",0,"bestand",586,542,44,3,29-09-2022 11:11_23,29-09-2022 11:11_38
"OKV_PEOPLESOFTHCM_PO","psh.pshdagelijks",68,4136,"DetecteerPakbon","weekdagelijks om 02:00 Uur","Afgebroken",61,"bestand",426,157,269,3,29-09-2022 02:00_18,29-09-2022 03:01_24
"OKV_PEOPLESOFTHCM_PO","psh.pshdagelijks",68,4136,"MasterBestandHarnas","weekdagelijks om 02:00 Uur","Afgebroken",61,"bestand",426,157,269,3,29-09-2022 02:00_13,29-09-2022 03:01_33
