"OKV_SCHEMA,""DL_NAAM"",""DL_FREQUENTIE_INFO"",""TYPE_DL_NAAM"",""AANTAL_RUNS_PER_BRON"",""AANTAL_RUNS_GOED"",""AANTAL_RUNS_FOUT"",""DL_RUN_ID"",""RUN_FOUT"",""DL_ID"",""PROCES_NAAM"",""PROCES_STATUS"",""START_TIJD"",""EIND_TIJD"",""VERSCHIL"""
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""GenereerStagingTabel"",""Klaar"",05-01-2024 03:56_14,05-01-2024 03:56_19,0"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""GenereerStagingTabellen"",""Klaar"",05-01-2024 03:56_10,05-01-2024 03:56_24,0"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""InitialiserenBronzone"",""Klaar"",05-01-2024 03:58_21,05-01-2024 03:59_05,1"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""InlezenResafasaPakbon"",""Klaar"",05-01-2024 03:55_37,05-01-2024 03:55_43,0"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""Laden delta tabel"",""Klaar"",05-01-2024 04:00_00,05-01-2024 04:00_14,0"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""Laden technische HUB staging tabel"",""Klaar"",05-01-2024 03:59_27,05-01-2024 03:59_34,0"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""Laden technische staging tabel"",""Klaar"",05-01-2024 03:59_17,05-01-2024 03:59_33,0"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""LadenBestand"",""Klaar"",05-01-2024 03:56_34,05-01-2024 03:57_06,1"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""LadenBronzone"",""Klaar"",05-01-2024 03:59_07,05-01-2024 04:00_38,2"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""LadenResafasaSingleRecord"",""Klaar"",05-01-2024 03:56_26,05-01-2024 03:57_08,1"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""MaskeringsDataVullen"",""Klaar"",05-01-2024 03:57_42,05-01-2024 03:58_14,1"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""MasterBestandHarnasResafasa"",""Klaar"",05-01-2024 03:45_14,05-01-2024 04:00_54,16"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""PlatBestandHarnas"",""Klaar"",05-01-2024 03:57_37,05-01-2024 03:57_37,0"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""VerplaatsenBestandenNaarArchiefFolder"",""Klaar"",05-01-2024 03:57_31,05-01-2024 03:57_34,0"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""VerplaatsenBestandenNaarVerwerkingsFolder"",""Klaar"",05-01-2024 03:55_33,05-01-2024 03:55_35,0"
"OKV_RESAFASA_PO,""rf.brutos"",""dagelijks"",""bestand"",566,524,42,10076,0,38,""VerwijderParamBestanden"",""Klaar"",05-01-2024 04:00_42,05-01-2024 04:00_44,0"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""BronzoneHarnas"",""Klaar"",05-01-2024 02:02_37,05-01-2024 02:05_37,3"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""BronzonePreProces"",""Klaar"",05-01-2024 02:02_55,05-01-2024 02:03_09,0"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""ControlerenPakbon"",""Klaar"",05-01-2024 02:00_51,05-01-2024 02:01_08,0"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""ControlerenStaging"",""Klaar"",05-01-2024 02:02_15,05-01-2024 02:02_28,0"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""Creatie delta tabel"",""Klaar"",05-01-2024 02:03_33,05-01-2024 02:03_39,0"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""Creatie technische staging tabellen"",""Klaar"",05-01-2024 02:03_17,05-01-2024 02:03_32,0"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""DetecteerPakbon"",""Klaar"",05-01-2024 02:00_19,05-01-2024 02:00_31,0"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""GenereerSchemaFile"",""Klaar"",05-01-2024 02:01_15,05-01-2024 02:01_24,0"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""GenereerSchemaFiles"",""Klaar"",05-01-2024 02:01_12,05-01-2024 02:01_26,0"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""GenereerStagingSynonyms"",""Klaar"",05-01-2024 02:02_07,05-01-2024 02:02_13,0"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""GenereerStagingTabel"",""Klaar"",05-01-2024 02:01_30,05-01-2024 02:01_42,0"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""GenereerStagingTabellen"",""Klaar"",05-01-2024 02:01_27,05-01-2024 02:01_46,0"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""InitialiserenBronzone"",""Klaar"",05-01-2024 02:03_11,05-01-2024 02:03_53,1"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""InlezenPakbon"",""Klaar"",05-01-2024 02:00_35,05-01-2024 02:00_50,0"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""Laden delta tabel"",""Klaar"",05-01-2024 02:04_44,05-01-2024 02:05_14,0"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""Laden technische HUB staging tabel"",""Klaar"",05-01-2024 02:04_07,05-01-2024 02:04_28,0"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""Laden technische staging tabel"",""Klaar"",05-01-2024 02:04_04,05-01-2024 02:04_34,0"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""LadenBestand"",""Klaar"",05-01-2024 02:01_54,05-01-2024 02:02_03,0"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""LadenBestanden"",""Klaar"",05-01-2024 02:01_48,05-01-2024 02:02_05,0"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""LadenBronzone"",""Klaar"",05-01-2024 02:03_55,05-01-2024 02:05_35,2"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""MaskeringsDataVullen"",""Klaar"",05-01-2024 02:02_39,05-01-2024 02:02_53,0"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""MasterBestandHarnas"",""Klaar"",05-01-2024 02:00_14,05-01-2024 02:05_53,6"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""PeercodeControle"",""Klaar"",05-01-2024 02:02_59,05-01-2024 02:03_02,0"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""PeercodeRowLevelMasking"",""Klaar"",05-01-2024 02:02_57,05-01-2024 02:03_08,0"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""PlatBestandHarnas"",""Klaar"",05-01-2024 02:00_16,05-01-2024 02:02_34,2"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""VerplaatsenBestandenNaarArchiefFolder"",""Klaar"",05-01-2024 02:02_30,05-01-2024 02:02_33,0"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""VerplaatsenBestandenNaarVerwerkingsFolder"",""Klaar"",05-01-2024 02:00_32,05-01-2024 02:00_34,0"
"OKV_PEERCODE_PO,""peercode.peercodedagelijks"",""dagelijks"",""bestand"",754,719,35,10075,0,9,""VerwijderParamBestanden"",""Klaar"",05-01-2024 02:05_39,05-01-2024 02:05_41,0"
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""BronzoneHarnas"",""Klaar"",05-01-2024 02:03_38,05-01-2024 02:06_01,2"
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""BronzonePreProces"",""Klaar"",05-01-2024 02:03_46,05-01-2024 02:03_51,0"
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""ControlerenPakbon"",""Klaar"",05-01-2024 02:01_55,05-01-2024 02:02_06,0"
